sessionNo|prediction
1|1
2|1
3|1
4|0
5|0
6|0
7|0
8|0
9|0
10|1
11|0
12|1
13|1
14|0
15|1
16|0
17|1
18|1
19|0
20|1
21|0
22|1
23|1
24|0
25|0
26|0
27|1
28|0
29|1
30|0
31|1
32|1
33|1
34|0
35|1
36|0
37|1
38|1
39|1
40|1
41|0
42|1
43|0
44|0
45|1
46|1
47|0
48|0
49|1
50|0
51|1
52|1
53|0
54|1
55|0
56|1
57|0
58|0
59|1
60|1
61|0
62|0
63|1
64|0
65|1
66|1
67|1
68|0
69|1
70|0
71|1
72|0
73|1
74|0
75|0
76|0
77|0
78|1
79|1
80|0
81|1
82|1
83|1
84|1
85|1
86|1
87|1
88|0
89|1
90|0
91|0
92|1
93|1
94|0
95|0
96|1
97|0
98|0
99|1
100|1
101|0
102|0
103|1
104|0
105|1
106|0
107|1
108|0
109|1
110|0
111|1
112|0
113|0
114|0
115|1
116|0
117|1
118|0
119|0
120|0
121|0
122|0
123|0
124|1
125|0
126|0
127|0
128|0
129|0
130|0
131|1
132|1
133|1
134|1
135|0
136|1
137|0
138|0
139|1
140|1
141|0
142|1
143|0
144|1
145|1
146|0
147|1
148|1
149|0
150|1
151|0
152|0
153|0
154|0
155|0
156|1
157|1
158|1
159|1
160|1
161|0
162|1
163|0
164|1
165|1
166|1
167|0
168|1
169|1
170|0
171|1
172|0
173|0
174|1
175|1
176|1
177|0
178|1
179|0
180|0
181|1
182|1
183|1
184|0
185|1
186|1
187|0
188|1
189|0
190|1
191|0
192|0
193|1
194|0
195|1
196|1
197|1
198|0
199|0
200|1
201|0
202|0
203|0
204|1
205|0
206|1
207|1
208|1
209|0
210|1
211|1
212|0
213|1
214|1
215|0
216|1
217|1
218|1
219|0
220|0
221|0
222|1
223|0
224|0
225|1
226|1
227|1
228|1
229|1
230|1
231|0
232|1
233|1
234|1
235|0
236|1
237|0
238|1
239|1
240|1
241|1
242|1
243|0
244|0
245|1
246|0
247|1
248|0
249|1
250|1
251|1
252|1
253|1
254|1
255|1
256|1
257|1
258|1
259|1
260|1
261|1
262|1
263|1
264|1
265|1
266|1
267|1
268|1
269|0
270|1
271|1
272|1
273|0
274|1
275|0
276|1
277|1
278|1
279|1
280|1
281|0
282|1
283|1
284|0
285|1
286|0
287|1
288|1
289|0
290|0
291|0
292|0
293|0
294|1
295|1
296|0
297|1
298|1
299|0
300|1
301|0
302|0
303|1
304|0
305|1
306|1
307|1
308|0
309|1
310|1
311|0
312|1
313|0
314|0
315|1
316|0
317|0
318|1
319|1
320|0
321|0
322|0
323|1
324|1
325|1
326|1
327|1
328|0
329|1
330|1
331|1
332|1
333|1
334|1
335|1
336|1
337|1
338|0
339|1
340|0
341|1
342|1
343|0
344|1
345|0
346|1
347|0
348|1
349|0
350|0
351|1
352|1
353|1
354|0
355|0
356|0
357|1
358|1
359|0
360|0
361|1
362|0
363|1
364|1
365|1
366|1
367|0
368|1
369|1
370|0
371|1
372|1
373|1
374|1
375|1
376|0
377|1
378|1
379|1
380|1
381|1
382|0
383|1
384|0
385|0
386|1
387|0
388|0
389|0
390|0
391|1
392|1
393|1
394|1
395|0
396|1
397|0
398|0
399|1
400|0
401|1
402|0
403|0
404|0
405|1
406|1
407|0
408|1
409|1
410|1
411|1
412|1
413|1
414|1
415|0
416|0
417|1
418|0
419|0
420|1
421|1
422|1
423|0
424|1
425|1
426|1
427|0
428|1
429|0
430|1
431|1
432|1
433|0
434|0
435|1
436|0
437|0
438|0
439|1
440|1
441|1
442|1
443|1
444|0
445|0
446|1
447|0
448|0
449|1
450|1
451|1
452|0
453|0
454|1
455|1
456|1
457|0
458|1
459|1
460|0
461|0
462|0
463|0
464|0
465|0
466|1
467|1
468|0
469|0
470|0
471|1
472|0
473|0
474|0
475|1
476|0
477|1
478|0
479|1
480|0
481|1
482|0
483|1
484|1
485|0
486|1
487|1
488|1
489|1
490|0
491|0
492|0
493|0
494|0
495|1
496|0
497|1
498|0
499|0
500|1
501|1
502|0
503|0
504|0
505|0
506|0
507|1
508|1
509|1
510|0
511|1
512|0
513|0
514|0
515|1
516|1
517|0
518|1
519|1
520|1
521|1
522|1
523|0
524|1
525|0
526|1
527|1
528|1
529|0
530|1
531|1
532|0
533|0
534|0
535|1
536|0
537|1
538|0
539|1
540|1
541|1
542|1
543|0
544|1
545|0
546|0
547|0
548|1
549|1
550|1
551|0
552|1
553|1
554|0
555|1
556|1
557|0
558|0
559|0
560|0
561|0
562|1
563|1
564|1
565|1
566|0
567|1
568|0
569|0
570|0
571|0
572|1
573|1
574|1
575|0
576|1
577|1
578|1
579|0
580|0
581|1
582|1
583|0
584|1
585|1
586|1
587|1
588|0
589|1
590|1
591|1
592|1
593|0
594|1
595|1
596|1
597|0
598|1
599|1
600|1
