sessionNo|prediction
1|0
2|0
3|0
4|0
5|0
6|0
7|0
8|0
9|1
10|0
11|0
12|0
13|1
14|1
15|1
16|1
17|0
18|1
19|0
20|1
21|0
22|0
23|1
24|1
25|0
26|0
27|0
28|0
29|1
30|1
31|0
32|0
33|0
34|1
35|0
36|0
37|0
38|1
39|0
40|1
41|0
42|0
43|1
44|0
45|0
46|0
47|0
48|0
49|1
50|0
51|0
52|0
53|1
54|1
55|0
56|1
57|1
58|1
59|1
60|0
61|1
62|0
63|0
64|0
65|0
66|0
67|0
68|1
69|0
70|1
71|0
72|0
73|1
74|0
75|1
76|0
77|1
78|1
79|0
80|0
81|0
82|1
83|1
84|0
85|0
86|0
87|1
88|0
89|0
90|0
91|0
92|1
93|0
94|1
95|0
96|0
97|0
98|1
99|1
100|1
101|0
102|0
103|0
104|0
105|0
106|0
107|1
108|1
109|0
110|1
111|1
112|1
113|0
114|0
115|0
116|0
117|0
118|1
119|1
120|1
121|1
122|0
123|0
124|0
125|0
126|0
127|0
128|1
129|0
130|1
131|1
132|1
133|0
134|1
135|1
136|0
137|0
138|0
139|0
140|0
141|0
142|1
143|1
144|1
145|0
146|0
147|1
148|0
149|1
150|1
151|0
152|1
153|1
154|0
155|0
156|0
157|1
158|0
159|1
160|1
161|0
162|0
163|0
164|0
165|0
166|1
167|1
168|1
169|1
170|1
171|0
172|0
173|0
174|1
175|0
176|0
177|0
178|0
179|0
180|0
181|1
182|0
183|1
184|1
185|0
186|1
187|0
188|0
189|1
190|0
191|0
192|0
193|0
194|1
195|0
196|0
197|1
198|0
199|0
200|1
201|0
202|1
203|0
204|0
205|1
206|1
207|0
208|0
209|1
210|1
211|0
212|0
213|1
214|1
215|0
216|0
217|1
218|1
219|1
220|1
221|0
222|0
223|0
224|0
225|0
226|1
227|0
228|1
229|0
230|0
231|1
232|1
233|1
234|1
235|1
236|1
237|0
238|0
239|0
240|0
241|0
242|0
243|0
244|0
245|0
246|1
247|0
248|1
249|0
250|1
251|0
252|0
253|0
254|0
255|1
256|1
257|0
258|1
259|0
260|0
261|1
262|1
263|1
264|1
265|1
266|1
267|1
268|1
269|0
270|1
271|0
272|1
273|0
274|1
275|1
276|0
277|1
278|1
279|0
